lat,lon,alt
47.3843571,8.5451784,464.91
47.3843571,8.5451784,464.91
47.3843571,8.5451784,464.91
47.3843571,8.5451784,464.91
47.3843571,8.5451784,464.91
47.3843571,8.5451784,464.91
47.3843551,8.5451786,465.164
47.3843551,8.5451786,465.164
47.3843551,8.5451786,465.164
47.3843551,8.5451786,465.164
47.3843551,8.5451786,465.164
47.3843551,8.5451786,465.164
47.3843531,8.5451792,465.478
47.3843531,8.5451792,465.478
47.3843531,8.5451792,465.478
47.3843531,8.5451792,465.478
47.3843531,8.5451792,465.478
47.3843531,8.5451792,465.478
47.384351,8.54518,465.851
47.384351,8.54518,465.851
47.384351,8.54518,465.851
47.384351,8.54518,465.851
47.384351,8.54518,465.851
47.384351,8.54518,465.851
47.3843499,8.5451802,466.247
47.3843499,8.5451802,466.247
47.3843499,8.5451802,466.247
47.3843499,8.5451802,466.247
47.3843499,8.5451802,466.247
47.3843499,8.5451802,466.247
47.3843499,8.5451832,466.324
47.3843499,8.5451832,466.324
47.3843499,8.5451832,466.324
47.3843499,8.5451832,466.324
47.3843499,8.5451832,466.324
47.3843499,8.5451832,466.324
47.3843502,8.5451842,466.501
47.3843502,8.5451842,466.501
47.3843502,8.5451842,466.501
47.3843502,8.5451842,466.501
47.3843502,8.5451842,466.501
47.3843502,8.5451842,466.501
47.3843498,8.545184,466.894
47.3843498,8.545184,466.894
47.3843498,8.545184,466.894
47.3843498,8.545184,466.894
47.3843498,8.545184,466.894
47.3843498,8.545184,466.894
47.3843499,8.5451857,467.132
47.3843499,8.5451857,467.132
47.3843499,8.5451857,467.132
47.3843499,8.5451857,467.132
47.3843499,8.5451857,467.132
47.3843499,8.5451857,467.132
47.3843497,8.5451876,467.235
47.3843497,8.5451876,467.235
47.3843497,8.5451876,467.235
47.3843497,8.5451876,467.235
47.3843497,8.5451876,467.235
47.3843497,8.5451876,467.235
47.3843498,8.5451899,467.265
47.3843498,8.5451899,467.265
47.3843498,8.5451899,467.265
47.3843498,8.5451899,467.265
47.3843498,8.5451899,467.265
47.3843498,8.5451899,467.265
47.3843494,8.5451919,467.39
47.3843494,8.5451919,467.39
47.3843494,8.5451919,467.39
47.3843494,8.5451919,467.39
47.3843494,8.5451919,467.39
47.3843494,8.5451919,467.39
47.3843489,8.5451931,467.487
47.3843489,8.5451931,467.487
47.3843489,8.5451931,467.487
47.3843489,8.5451931,467.487
47.3843489,8.5451931,467.487
47.3843489,8.5451931,467.487
47.3843488,8.5451926,467.611
47.3843488,8.5451926,467.611
47.3843488,8.5451926,467.611
47.3843488,8.5451926,467.611
47.3843488,8.5451926,467.611
47.3843488,8.5451926,467.611
47.3843491,8.5451931,467.714
47.3843491,8.5451931,467.714
47.3843491,8.5451931,467.714
47.3843491,8.5451931,467.714
47.3843491,8.5451931,467.714
47.3843491,8.5451931,467.714
47.3843495,8.545194,467.741
47.3843495,8.545194,467.741
47.3843495,8.545194,467.741
47.3843495,8.545194,467.741
47.3843495,8.545194,467.741
47.3843495,8.545194,467.741
47.3843507,8.5451956,467.662
47.3843507,8.5451956,467.662
47.3843507,8.5451956,467.662
47.3843507,8.5451956,467.662
47.3843507,8.5451956,467.662
47.3843507,8.5451956,467.662
47.3843516,8.5451967,467.643
47.3843516,8.5451967,467.643
47.3843516,8.5451967,467.643
47.3843516,8.5451967,467.643
47.3843516,8.5451967,467.643
47.3843516,8.5451967,467.643
47.3843514,8.5451973,467.634
47.3843514,8.5451973,467.634
47.3843514,8.5451973,467.634
47.3843514,8.5451973,467.634
47.3843514,8.5451973,467.634
47.3843514,8.5451973,467.634
47.3843532,8.5452011,467.466
47.3843532,8.5452011,467.466
47.3843532,8.5452011,467.466
47.3843532,8.5452011,467.466
47.3843532,8.5452011,467.466
47.3843532,8.5452011,467.466
47.3843539,8.545201,467.508
47.3843539,8.545201,467.508
47.3843539,8.545201,467.508
47.3843539,8.545201,467.508
47.3843539,8.545201,467.508
47.3843539,8.545201,467.508
47.3843546,8.5452006,467.46
47.3843546,8.5452006,467.46
47.3843546,8.5452006,467.46
47.3843546,8.5452006,467.46
47.3843546,8.5452006,467.46
47.3843546,8.5452006,467.46
47.3843554,8.5452011,467.408
47.3843554,8.5452011,467.408
47.3843554,8.5452011,467.408
47.3843554,8.5452011,467.408
47.3843554,8.5452011,467.408
47.3843554,8.5452011,467.408
47.3843553,8.5452003,467.371
47.3843553,8.5452003,467.371
47.3843553,8.5452003,467.371
47.3843553,8.5452003,467.371
47.3843553,8.5452003,467.371
47.3843553,8.5452003,467.371
47.3843559,8.5452015,467.376
47.3843559,8.5452015,467.376
47.3843559,8.5452015,467.376
47.3843559,8.5452015,467.376
47.3843559,8.5452015,467.376
47.3843559,8.5452015,467.376
47.384356,8.5452011,467.237
47.384356,8.5452011,467.237
47.384356,8.5452011,467.237
47.384356,8.5452011,467.237
47.384356,8.5452011,467.237
47.384356,8.5452011,467.237
47.3843566,8.5452008,467.105
47.3843566,8.5452008,467.105
47.3843566,8.5452008,467.105
47.3843566,8.5452008,467.105
47.3843566,8.5452008,467.105
47.3843566,8.5452008,467.105
47.3843577,8.5452006,466.823
47.3843577,8.5452006,466.823
47.3843577,8.5452006,466.823
47.3843577,8.5452006,466.823
47.3843577,8.5452006,466.823
47.3843577,8.5452006,466.823
47.3843574,8.5451985,466.841
47.3843574,8.5451985,466.841
47.3843574,8.5451985,466.841
47.3843574,8.5451985,466.841
47.3843574,8.5451985,466.841
47.3843574,8.5451985,466.841
47.384357,8.5451976,466.887
47.384357,8.5451976,466.887
47.384357,8.5451976,466.887
47.384357,8.5451976,466.887
47.384357,8.5451976,466.887
47.384357,8.5451976,466.887
47.3843575,8.5451976,466.83
47.3843575,8.5451976,466.83
47.3843575,8.5451976,466.83
47.3843575,8.5451976,466.83
47.3843575,8.5451976,466.83
47.3843575,8.5451976,466.83
47.3843587,8.5451976,466.727
47.3843587,8.5451976,466.727
47.3843587,8.5451976,466.727
47.3843587,8.5451976,466.727
47.3843587,8.5451976,466.727
47.3843587,8.5451976,466.727
47.384359,8.5451967,466.714
47.384359,8.5451967,466.714
47.384359,8.5451967,466.714
47.384359,8.5451967,466.714
47.384359,8.5451967,466.714
47.384359,8.5451967,466.714
47.384359,8.5451952,466.661
47.384359,8.5451952,466.661
47.384359,8.5451952,466.661
47.384359,8.5451952,466.661
47.384359,8.5451952,466.661
47.384359,8.5451952,466.661
47.3843596,8.5451948,466.6
47.3843596,8.5451948,466.6
47.3843596,8.5451948,466.6
47.3843596,8.5451948,466.6
47.3843596,8.5451948,466.6
47.3843596,8.5451948,466.6
47.3843593,8.5451929,466.663
47.3843593,8.5451929,466.663
47.3843593,8.5451929,466.663
47.3843593,8.5451929,466.663
47.3843593,8.5451929,466.663
47.3843593,8.5451929,466.663
47.3843602,8.5451932,466.626
47.3843602,8.5451932,466.626
47.3843602,8.5451932,466.626
47.3843602,8.5451932,466.626
47.3843602,8.5451932,466.626
47.3843602,8.5451932,466.626
47.384361,8.5451938,466.629
47.384361,8.5451938,466.629
47.384361,8.5451938,466.629
47.384361,8.5451938,466.629
47.384361,8.5451938,466.629
47.384361,8.5451938,466.629
47.384362,8.5451939,466.53
47.384362,8.5451939,466.53
47.384362,8.5451939,466.53
47.384362,8.5451939,466.53
47.384362,8.5451939,466.53
47.384362,8.5451939,466.53
47.3843622,8.5451944,466.64
47.3843622,8.5451944,466.64
47.3843622,8.5451944,466.64
